MacAddress,Company
D0:58:C0,Qingdao Haier Multimedia Limited. 
04:45:62,ANDRA Sp. z o. o.
84:27:B6,China Mobile IOT Company Limited
58:30:5B,Shanghai Junqian Sensing Technology Co.
B8:1D:AA,LG Electronics (Mobile Communications)
74:D6:EA,Texas Instruments
D0:CF:13,Espressif Inc.
24:A4:95,Thales Canada Inc.
00:16:19,Lancelan Technologies S.L.
00:50:C2:91:3,Leonardo MW Ltd (Land  Naval Defence Electronic)
94:CE:2C,Sony Mobile Communications Inc
70:B3:D5:98:8,Arris
00:50:C2:9D:2,Saia-Burgess Controls AG
00:07:FB,Giga Stream UMTS Technologies GmbH
88:3C:C5:6,mfJebsen Electronics Ltd.
68:B3:5E,Shenzhen Neostra Technology Co.Ltd
00:D5:98,BOPEL MOBILE TECHNOLOGY CO.
00:60:68,Dialogic Corporation
70:B3:D5:25:5,Asystems Corporation
00:56:CD,Apple
F4:20:55:0,AsicFlag
00:07:49,CENiX Inc.
64:F6:F7,Anhui Dynamic Power Co.
00:1A:F7,dataschalt ea GmbH
74:87:2E,HUAWEI TECHNOLOGIES CO.
80:09:02,Keysight Technologies
CC:D8:11,Aiconn Technology Corporation
00:20:14,GLOBAL VIEW CO.
00:1A:A7,Torian Wireless
00:16:08,Sequans Communications
00:24:86,DesignArt Networks
5C:27:63,Itibia Technologies
00:50:C2:A1:D,SAMH Engineering Services
00:1C:F0,D-Link Corporation
70:B3:D5:A6:F,8Cups
04:00:67,Stanley Black  Decker
54:4C:8A,Microsoft Corporation
4C:C0:0A,vivo Mobile Communication Co.
00:02:EE,Nokia Danmark AS
8C:1F:64:1D:A,Chongqing Huaxiu Technology Co.
08:00:76,PC LAN TECHNOLOGIES
70:B3:D5:39:2,Contec Americas Inc.
00:16:A2,CentraLite Systems
9C:5B:96,NMR Corporation
54:4D:D4,China Mobile Group Device Co.
5C:C7:D7,AZROAD TECHNOLOGY COMPANY LIMITED
00:40:12,WINDATA
C0:1E:9B,Pixavi AS
00:15:73,NewSoft  Technology Corporation
30:B3:46,CJSC NORSI-TRANS
9C:74:03,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
00:A0:66,ISA CO.
7C:A7:B0,SHENZHEN BILIAN ELECTRONIC CO.???LTD
00:0C:07,Iftest AG
8C:1F:64:68:5,Sanchar Communication Systems
8C:1F:64:87:C,ENA Solution
00:11:DF,Current Energy
CC:4F:5C:E,Buttons (Beijing) Technology Limited
84:8B:CD:6,TWTG RD B.V. 
00:07:14,Brightcom
F4:94:66,CountMax
7C:83:34:4,Fusus
00:18:F5,Shenzhen Streaming Video Technology Company Limited
00:25:BF,Wireless Cables Inc.
88:A9:A7:0,Shenzhenshi kechuangzhixian technology Co.LTD
48:43:5A,HUAWEI TECHNOLOGIES CO.
00:1B:C5:03:E,Daylight  Solutions
00:0A:C5,Color Kinetics
8C:1F:64:32:4,Kinetic Technologies
0C:F3:46,Xiaomi Communications Co Ltd
00:50:C2:66:7,Vocality International Ltd
00:16:C2,Avtec Systems Inc
00:50:C2:B5:F,North Bridge Technologies
E8:F3:75,Nokia
00:50:C2:B7:F,Enatel
00:0A:18,Vichel Inc.
C0:83:59:A,SHANGHAI CHARMHOPE INFORMATION TECHNOLOGY CO.
B4:0E:DC,LG-Ericsson Co.
00:F2:8B,Cisco Systems
3C:EA:4F,2Wire Inc
94:3E:FD:4,Vantive Manufacturing Pte Ltd
00:20:7D,ADVANCED COMPUTER APPLICATIONS
58:6B:14,Apple
B0:10:41,Hon Hai Precision Ind. Co.
B8:8E:C6,Stateless Networks
50:07:C3,Amazon Technologies Inc.
00:09:6B,IBM Corp
54:C4:15,Hangzhou Hikvision Digital Technology Co.
E0:12:83, Shenzhen Fanzhuo Communication Technology Co.
34:29:8F:E,ARC Technology Co.
44:66:6E,IP-LINE
70:B3:D5:9C:4,aelettronica group srl
EC:7C:74,Justone Technologies Co.
00:C0:71,AREANEX COMMUNICATIONS
18:A5:9C:6,INTEGRAL PLUS
70:58:A4,Actiontec Electronics Inc.
5C:EB:68,Cheerstar Technology Co.
10:32:1D,HUAWEI TECHNOLOGIES CO.
70:B3:D5:92:1,QDevil
24:CE:33,Amazon Technologies Inc.
8C:1F:64:1D:D,Beijing Shengtongnaan Technology Development Co .
C8:02:8F,Nova Electronics (Shanghai) Co.
E0:75:0A,ALPSALPINE CO
00:02:C8,Technocom Communications Technology (pte) Ltd
00:50:C2:F0:6,Micro-Key BV
00:1D:28,Sony Mobile Communications Inc
34:00:8A:E,SHENZHEN WXL ELECTRONICS CO.
70:B3:D5:87:5,Peek Traffic
74:26:AC,Cisco Systems
E4:9E:12,FREEBOX SAS
04:5C:8E,gosund GROUP CO.
98:39:10,Kaon Group Co.
8C:1F:64:DC:0,Pigs Can Fly Labs LLC
70:B3:D5:49:5,Fiem Industries Ltd.
8C:1F:64:C0:8,Triamec Motion AG
70:B3:D5:20:4,TWC
44:30:3F,HUAWEI TECHNOLOGIES CO.
4C:4C:D8,zte corporation
00:1A:5B,NetCare Service Co.
F0:D9:B2,EXO S.A.
8C:1F:64:F4:B,JOREX LOREX INDIA PRIVATE LIMITED
7C:70:BC:8,Mennekes Elektrotechnik GmbH  Co. KG
58:7A:6A,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C8:33:4B,Apple
00:30:B1,TrunkNet
00:C0:1B,SOCKET COMMUNICATIONS
D8:44:89,TP-LINK CORPORATION PTE. LTD.
EC:C0:18,Cisco Systems
00:16:E4,VANGUARD SECURITY ENGINEERING CORP.
1C:71:25,Apple
88:35:C1,OI ELECTRIC CO.
00:50:C2:91:1,Vapor Rail
00:10:0D,Cisco Systems
10:94:97,Logitech Hong Kong
70:9B:FC,Bryton Inc.
64:20:9F,Tilgin AB
2C:78:0E,Huawei Device Co.
00:E0:32,MISYS FINANCIAL SYSTEMS
F4:92:BF,Ubiquiti Networks Inc.
08:60:83,zte corporation
4C:EA:41:6,Gopod Group Limited
00:02:CC,M.C.C.I
90:31:CD,Onyx Healthcare Inc.
F4:B5:BB,CERAGON NETWORKS
00:0E:14,Visionary Solutions
10:54:D2:1,Jiangxi OfilmJvneng IoT Tech Co.
00:80:23,INTEGRATED BUSINESS NETWORKS
90:4E:91:8,CommandScape
00:40:55,METRONIX GMBH
70:B3:D5:02:8,AT-Automation Technology GmbH
CC:50:1C,KVH Industries
D0:15:4A,zte corporation
00:15:47,AiZen Solutions Inc.
B0:46:92,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
00:0A:4A,Targa Systems Ltd.
88:C6:E8,HUAWEI TECHNOLOGIES CO.
64:31:72,ZHEJIANG HISING TECHNOLOGY CO.
18:A9:9B,Dell Inc.
8C:1F:64:F3:F,Industrial Laser Machines
40:83:DE,Zebra Technologies Inc
90:15:64:5,Relectrify Pty Ltd
58:20:8A:E,UPM Technology
10:B7:F6,Plastoform Industries Ltd.
90:3C:92,Apple
D4:05:98,ARRIS Group
F0:12:04:E,Tianjin Tianchuan Electric Drive Co.
2C:A3:27,Oraimo Technology Limited
70:B3:D5:D7:2,OnYield Inc Ltd
00:19:24,LBNL  Engineering
9C:F6:7D,Ricardo Prague
34:FC:6F,ALCEA
14:09:B4,zte corporation
00:08:DC,Wiznet
E8:FF:1E:9,Shenzhen Justinfo Technology Co.
44:B4:B2,Amazon Technologies Inc.
DC:93:96,Apple
00:11:D5,Hangzhou Sunyard System Engineering Co.
DC:28:34,HAKKO Corporation
40:D8:55:11:A,Sicon srl
00:0B:D4,Beijing Wise Technology  Science Development Co.Ltd
B0:58:C4,Broadcast Microwave Services
70:B3:D5:38:9,2KLIC inc.
00:C0:7E,KUBOTA CORPORATION ELECTRONIC
00:50:C2:D3:9,Apex NV
1C:A0:EF:6,HANJEN.CHIN  CO.
F4:FD:2B,ZOYI Company
70:61:EE,Sunwoda Electronic Co.
